timestamp,accX,accY,accZ
0,1.03,0.01,-0.03
16,1.03,0.01,-0.03
32,1.03,0.01,-0.03
48,1.03,0.01,-0.03
64,1.03,0.01,-0.03
80,1.03,0.01,-0.03
96,1.03,0.02,-0.03
112,1.03,-0.02,0.04
128,1.03,-0.01,0.03
144,1.03,-0.01,0.03
160,1.03,-0.01,0.02
176,1.03,-0.01,0.02
192,1.03,-0.02,0.02
208,1.03,-0.01,0.01
224,1.03,-0.01,0.01
240,1.03,-0.01,0.03
256,1.03,-0.01,0.02
272,1.03,-0.01,0.02
288,1.03,-0.02,0.02
304,1.03,-0.02,0.02
320,1.03,-0.02,0.02
336,1.03,-0.02,0.01
352,1.03,-0.01,0.01
368,1.03,-0.02,0.01
384,1.03,-0.01,0.01
400,1.03,-0.01,0.01
416,1.03,-0.02,0.01
432,1.03,-0.01,0.01
448,1.03,-0.01,0
464,1.03,-0.01,-0.01
480,1.03,-0.01,-0.01
496,1.03,-0.01,0
512,1.03,-0.01,-0.01
528,1.03,-0.01,-0.01
544,1.03,-0.02,0
560,1.03,-0.01,0
576,1.03,-0.01,0
592,1.03,-0.01,-0.01
608,1.03,-0.01,-0.01
624,1.03,-0.01,-0.01
640,1.03,-0.01,0
656,1.03,-0.02,-0.01
672,1.03,-0.02,-0.01
688,1.03,-0.02,0
704,1.03,-0.01,-0.01
720,1.03,-0.01,-0.02
736,1.02,-0.01,-0.02
752,1.03,-0.01,-0.02
768,1.03,-0.02,-0.02
784,1.03,-0.02,-0.02
800,1.03,-0.01,-0.02
816,1.03,-0.01,-0.02
832,1.03,-0.01,0
848,1.03,-0.01,0
864,1.03,-0.01,-0.01
880,1.03,-0.01,-0.01
896,1.03,-0.02,0
912,1.03,-0.01,0
928,1.03,-0.01,0
944,1.03,-0.01,-0.01
960,1.03,-0.01,-0.01
976,1.03,-0.01,-0.01
992,1.03,0.01,-0.03
1008,1.03,0.01,-0.03
1024,1.03,0.01,-0.03
1040,1.03,0.01,-0.03
1056,1.03,0.02,-0.03
1072,1.03,0.02,-0.02
1088,1.03,0.02,-0.02
1104,1.03,0.02,-0.02
1120,1.03,0.02,-0.02
1136,1.03,0.02,-0.02
1152,1.03,0.02,-0.02
1168,1.03,0.02,-0.02
1184,1.03,0.02,-0.02
1200,1.03,0.02,-0.02
1216,1.03,0.02,-0.03
1232,1.03,0.02,-0.02
1248,1.03,0.02,-0.02
1264,1.03,0.02,-0.02
1280,1.03,0.02,-0.02
1296,1.03,0.02,-0.01
1312,1.03,0.03,-0.02
1328,1.03,0.02,-0.02
1344,1.03,0.02,-0.03
1360,1.03,0.03,-0.03
1376,1.02,0.03,-0.03
1392,1.02,0.03,-0.03
1408,1.03,0.03,-0.03
1424,1.03,0.03,-0.03
1440,1.03,0.03,-0.03
1456,1.02,0.03,-0.03
1472,1.02,0.03,-0.02
1488,1.02,0.03,-0.03
1504,1.03,0.02,-0.03
1520,1.03,0.02,-0.02
1536,1.03,0.02,-0.01
1552,1.03,0.02,-0.01
1568,1.03,0.01,0
1584,1.03,0.01,0
1600,1.03,0.01,-0.01
1616,1.03,0.01,-0.01
1632,1.03,0.01,0
1648,1.03,0,0
1664,1.03,0,0
1680,1.03,0,0
1696,1.03,0,0.01
1712,1.03,0,0
1728,1.03,0,-0.01
1744,1.03,0.01,0
1760,1.03,0.03,-0.03
1776,1.03,0.03,-0.03
1792,1.03,0.03,-0.03
1808,1.02,0.03,-0.03
1824,1.02,0.03,-0.02
1840,1.02,0.03,-0.03
1856,1.03,0.03,-0.03
1872,1.03,0.03,-0.03
1888,1.03,0.03,-0.03
1904,1.03,0,-0.01
1920,1.03,0,0
1936,1.03,0,0
1952,1.03,-0.01,0
1968,1.03,-0.01,0
1984,1.03,-0.01,0
2000,1.03,-0.01,0.01
